Student #,Intellect,Integrity,Courage,Reflexes,Patience,House,Ofstev Rating
1,64,12,11,45,21,Serpentyne,26
2,58,54,15,24,34,Humblescrumble,40
3,48,44,32,23,58,Serpentyne,34
4,28,28,13,25,67,Serpentyne,24
5,33,38,28,28,33,Dragonslayer,36
6,54,37,41,24,29,Thought-Talon,40
7,18,14,10,26,15,Serpentyne,9
8,30,35,21,11,30,Thought-Talon,29
9,29,22,41,33,29,Dragonslayer,26
10,16,13,28,39,35,Serpentyne,15
11,47,48,29,2,20,Humblescrumble,33
12,21,58,18,47,12,Humblescrumble,20
13,6,50,14,37,22,Humblescrumble,17
14,33,6,33,26,55,Serpentyne,27
15,9,36,21,7,12,Humblescrumble,17
16,20,36,29,59,13,Thought-Talon,11
17,33,37,44,30,31,Dragonslayer,33
18,29,33,50,47,51,Dragonslayer,27
19,23,34,25,52,45,Dragonslayer,28
20,47,57,22,34,21,Humblescrumble,38
21,22,35,20,28,36,Dragonslayer,29
22,36,39,6,12,49,Serpentyne,22
23,31,49,25,24,14,Humblescrumble,31
24,25,56,28,48,53,Dragonslayer,34
25,32,35,20,27,27,Dragonslayer,24
26,14,24,44,44,44,Dragonslayer,25
27,12,51,26,58,24,Humblescrumble,16
28,43,60,52,31,25,Humblescrumble,32
29,20,58,27,21,50,Dragonslayer,27
30,24,44,43,39,52,Dragonslayer,22
31,25,21,67,13,20,Thought-Talon,16
32,28,34,56,39,54,Dragonslayer,32
33,44,13,25,35,18,Serpentyne,25
34,15,14,40,33,54,Dragonslayer,22
35,33,5,17,27,30,Thought-Talon,23
36,41,18,11,11,27,Thought-Talon,23
37,7,61,32,23,39,Thought-Talon,3
38,38,14,59,28,21,Dragonslayer,22
39,15,29,33,67,24,Dragonslayer,25
40,25,36,32,12,24,Thought-Talon,28
41,59,38,35,49,54,Dragonslayer,42
42,54,39,8,7,19,Humblescrumble,28
43,28,49,48,38,1,Dragonslayer,30
44,42,47,35,26,33,Thought-Talon,41
45,16,24,27,21,25,Dragonslayer,19
46,10,28,45,49,54,Dragonslayer,15
47,40,54,54,46,15,Humblescrumble,34
48,41,38,8,42,33,Thought-Talon,32
49,21,27,39,25,17,Dragonslayer,23
50,36,40,39,40,25,Dragonslayer,28
51,59,21,48,9,50,Thought-Talon,39
52,15,50,25,9,22,Humblescrumble,23
